2024-01-03 17:53:09,532 INFO [http-nio-8080-exec-3] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:53:10,357 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:53:10,978 INFO [http-nio-8080-exec-6] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:54:34,772 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:54:45,638 INFO [http-nio-8080-exec-10] readLogger [ProductController.java:66] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProductById, Product: Blouson, Price: 30.99
2024-01-03 17:56:00,705 INFO [http-nio-8080-exec-4] readLogger [ProductController.java:52] UserID: 659570d852f4d900d2ac7707, Operation: Read, Method: getProducts
2024-01-03 17:56:49,333 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:56:50,248 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:57:39,700 INFO [http-nio-8080-exec-2] readLogger [ProductController.java:52] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProducts
2024-01-03 17:57:44,131 INFO [http-nio-8080-exec-1] readLogger [ProductController.java:66] UserID: 6595709252f4d900d2ac7705, Operation: Read, Method: getProductById, Product: Blouson, Price: 50.99
2024-01-03 17:58:36,489 INFO [http-nio-8080-exec-7] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
2024-01-03 17:58:37,802 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
2024-01-03 17:58:38,473 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
2024-01-03 17:59:41,939 INFO [http-nio-8080-exec-8] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
2024-01-03 17:59:42,699 INFO [http-nio-8080-exec-9] readLogger [ProductController.java:52] UserID: 6595706452f4d900d2ac7704, Operation: Read, Method: getProducts
